index,kind,channel,wa_GHz,wb_GHz,w_snail_GHz,spec_GHz,detuning_GHz,w_p_GHz,lam_spec,drag,drag_applied,drag_compare_window,eta_peak,g_iswap_eff_MHz,nearest_beat_GHz,nearest_kind,nearest_target,g_collision_MHz,status,F_avg,leakage,F_avg_drag,leakage_drag,dF_drag,n_spec,n_coupler,p_transfer,t_g_ns,wall_s
84,target,qubit_qubit,3.5,5.4,4.7,4.15,1.9,1.9,0.2,False,False,False,0.27778,1.0,0.65,static,a,2.0,ok,0.7467366855529523,0.024625272496213158,,,,0.00017962517894563087,0.005337709474790675,0.9893382629104934,500.0,477.97904658317566
85,target,qubit_qubit,3.5,5.4,4.7,4.25,1.9,1.9,0.2,False,False,False,0.27778,1.0,0.75,static,a,2.0,ok,0.7341169506635594,0.06365769566215673,,,,0.00016105503866268285,0.00318948085332324,0.9912609729877649,500.0,475.48471784591675
86,target,qubit_qubit,3.5,5.4,4.7,5.25,1.9,1.9,0.2,False,False,False,0.27778,1.0,-0.15,onepump,a,2.0,ok,0.7520772266123527,0.02028603853380362,,,,0.00010350929568412378,0.0010287474281258843,0.9941625677436642,500.0,497.7629008293152
87,target,qubit_qubit,3.5,5.4,4.7,5.35,1.9,1.9,0.2,False,False,True,0.27778,1.0,-0.05,onepump,a,2.0,drag_compare,0.7589604506966624,0.01807886859308727,0.7497730131331402,0.025480687011314673,-0.00918743756352225,0.00046307020310412575,0.0011859306273513599,0.9912378670639987,500.0,1166.13951587677
88,target,qubit_qubit,3.5,5.4,4.7,5.45,1.9,1.9,0.2,False,True,True,0.27778,1.0,0.05,onepump,a,2.0,drag_compare,0.7252343800380328,0.03446569617311501,0.7288787592503976,0.03133216343049894,0.0036443792123648233,0.00044422132560806125,0.001472654202846951,0.9848795619383128,500.0,1157.7729194164276
89,target,qubit_qubit,3.5,5.4,4.7,5.55,1.9,1.9,0.2,False,False,False,0.27778,1.0,0.15,onepump,a,2.0,ok,0.7404736471639926,0.02519225005847825,,,,7.228398617389405e-05,0.0008123432470943495,0.9924401637083089,500.0,517.197934627533
90,target,qubit_qubit,3.5,5.5,4.7,3.75,2.0,2.0,0.2,False,False,False,0.27778,1.0,0.25,static,a,2.0,ok,0.7357011694868028,0.031042271542532474,,,,0.00029323607797252643,0.008408652997182856,0.9827294503176609,500.0,487.1018371582031
91,target,qubit_qubit,3.5,5.5,4.7,3.85,2.0,2.0,0.2,False,False,False,0.27778,1.0,0.35,static,a,2.0,ok,0.7376315624359397,0.03003646990529607,,,,0.0003486259557390434,0.007579002398762299,0.9838571852620958,500.0,503.55248498916626
92,target,qubit_qubit,3.5,5.5,4.7,3.95,2.0,2.0,0.2,False,False,False,0.27778,1.0,0.45,static,a,2.0,ok,0.7396146740067859,0.02877104007428566,,,,0.0002213160658681882,0.007291339247933026,0.9854090237437637,500.0,497.4898455142975
93,target,qubit_qubit,3.5,5.5,4.7,4.05,2.0,2.0,0.2,False,False,False,0.27778,1.0,0.55,static,a,2.0,ok,0.7380943593491173,0.03009733928834668,,,,0.00028185839436391865,0.006904798751781536,0.9849917560537705,500.0,491.35276770591736
94,target,qubit_qubit,3.5,5.5,4.7,4.15,2.0,2.0,0.2,False,False,False,0.27778,1.0,0.65,static,a,2.0,ok,0.7395562212881923,0.029034753230320343,,,,0.0001848020412229192,0.005161425233324796,0.9871872621417613,500.0,490.96436834335327
95,target,qubit_qubit,3.5,5.5,4.7,4.25,2.0,2.0,0.2,False,False,False,0.27778,1.0,0.75,static,a,2.0,ok,0.7402860035000083,0.02824120435761235,,,,0.00015365528615568307,0.0030037153796739265,0.9892414740498932,500.0,481.44608187675476
96,target,qubit_qubit,3.5,5.5,4.7,5.25,2.0,2.0,0.2,False,False,False,0.27778,1.0,-0.25,onepump,a,2.0,ok,0.7441717909320368,0.024685480617843147,,,,6.621602339622595e-05,0.0009810456886801145,0.9927602741649609,500.0,505.5795223712921
97,target,qubit_qubit,3.5,5.5,4.7,5.35,2.0,2.0,0.2,False,False,False,0.27778,1.0,-0.15,onepump,a,2.0,ok,0.7465164093186548,0.023186981499701664,,,,0.0001221925188169747,0.001375556235665574,0.9934415133082132,500.0,505.46925163269043
98,target,qubit_qubit,3.5,5.5,4.7,5.45,2.0,2.0,0.2,False,False,True,0.27778,1.0,-0.05,onepump,a,2.0,drag_compare,0.7551199532200653,0.01989436957277191,0.7457723528064572,0.027403405395587832,-0.00934760041360816,0.0004564487666455356,0.0012304952207531068,0.9921279422027662,500.0,1183.3106179237366
99,target,qubit_qubit,3.5,5.5,4.7,5.55,2.0,2.0,0.2,False,True,True,0.27778,1.0,0.05,onepump,a,2.0,drag_compare,0.7154725749852358,0.04064260458033253,0.7191252484096116,0.03753111769731865,0.0036526734243758074,0.00043718357446435126,0.0007197431765035553,0.980067230172355,500.0,1174.2984743118286
